ControlRepublican,ControlDemocrat,RarelyRepublican,RarelyDemocrat,FrequentlyRepublican,FrequentlyDemocrat,pid3,pid3_4_TEXT,pid_dem_strength,pid_rep_strength,pid_lean
Very unhappy,Very happy,NA,NA,NA,NA,Democrat,NA,Strong,NA,NA
NA,NA,Neither happy nor unhappy,Somewhat happy,NA,NA,Democrat,NA,Not very strong,NA,NA
NA,NA,Neither happy nor unhappy,Somewhat happy,NA,NA,Democrat,NA,Not very strong,NA,NA
NA,NA,Somewhat unhappy,Neither happy nor unhappy,NA,NA,Democrat,NA,Not very strong,NA,NA
NA,NA,Somewhat unhappy,Somewhat unhappy,NA,NA,Independent,NA,NA,NA,Neither
NA,NA,Very unhappy,Very happy,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Neither happy nor unhappy,Somewhat happy,Democrat,NA,Not very strong,NA,NA
Neither happy nor unhappy,Neither happy nor unhappy,NA,NA,NA,NA,Independent,NA,NA,NA,Closer to the Democratic Party
Neither happy nor unhappy,Neither happy nor unhappy,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Neither happy nor unhappy,Neither happy nor unhappy,NA,NA,Independent,NA,NA,NA,Closer to the Republican Party
NA,NA,Neither happy nor unhappy,Very happy,NA,NA,Democrat,NA,Strong,NA,NA
NA,NA,Somewhat unhappy,Somewhat happy,NA,NA,Democrat,NA,Strong,NA,NA
NA,NA,Very unhappy,Somewhat unhappy,NA,NA,Democrat,NA,Strong,NA,NA
Somewhat unhappy,Somewhat happy,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Very unhappy,Neither happy nor unhappy,NA,NA,NA,NA,NA,NA,NA
Somewhat happy,Neither happy nor unhappy,NA,NA,NA,NA,Another party (please specify),CDU (German party),NA,NA,Neither
NA,NA,Somewhat unhappy,Somewhat happy,NA,NA,Independent,NA,NA,NA,Closer to the Democratic Party
NA,NA,Somewhat happy,Somewhat happy,NA,NA,Independent,NA,NA,NA,Closer to the Democratic Party
Somewhat unhappy,Very happy,NA,NA,NA,NA,Democrat,NA,Strong,NA,NA
NA,NA,Neither happy nor unhappy,Somewhat happy,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Somewhat unhappy,Somewhat happy,Democrat,NA,Strong,NA,NA
NA,NA,NA,NA,Somewhat unhappy,Very happy,Democrat,NA,Strong,NA,NA
NA,NA,Very unhappy,Somewhat happy,NA,NA,NA,NA,NA,NA,NA
NA,NA,Very unhappy,Neither happy nor unhappy,NA,NA,Democrat,NA,Strong,NA,NA
NA,NA,Neither happy nor unhappy,Neither happy nor unhappy,NA,NA,Independent,NA,NA,NA,Neither
NA,NA,Neither happy nor unhappy,Neither happy nor unhappy,NA,NA,Independent,NA,NA,NA,Neither
NA,NA,Somewhat unhappy,Somewhat happy,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,Somewhat unhappy,Somewhat happy,Democrat,NA,Strong,NA,NA
NA,NA,Neither happy nor unhappy,Neither happy nor unhappy,NA,NA,Democrat,NA,Not very strong,NA,NA
NA,NA,Somewhat unhappy,Neither happy nor unhappy,NA,NA,Democrat,NA,Not very strong,NA,NA
NA,NA,NA,NA,Neither happy nor unhappy,Neither happy nor unhappy,Democrat,NA,Strong,NA,NA
Somewhat unhappy,Very happy,NA,NA,NA,NA,Democrat,NA,Strong,NA,NA
Neither happy nor unhappy,Neither happy nor unhappy,NA,NA,NA,NA,Independent,NA,NA,NA,Closer to the Republican Party
NA,NA,NA,NA,Somewhat unhappy,Neither happy nor unhappy,Independent,NA,NA,NA,Closer to the Democratic Party
NA,NA,NA,NA,Somewhat unhappy,Somewhat happy,Democrat,NA,Strong,NA,NA
NA,NA,Somewhat happy,Somewhat happy,NA,NA,Democrat,NA,Not very strong,NA,NA
